00N,NHS South Tyneside CCG,435669.5787,563258.3505,152389
05R,NHS South Warwickshire CCG,426451.8319,256751.6519,271809
04Q,NHS South West Lincolnshire CCG,502184.2378,340357.1929,129235
05T,NHS South Worcestershire CCG,387210.9371,252829.3343,289329
10X,NHS Southampton CCG,442338.6503,113551.9236,261796
99G,NHS Southend CCG,587987.9037,186677.7637,182784
04R,NHS Southern Derbyshire CCG,428979.7105,339425.4255,529928
01V,NHS Southport and Formby CCG,332166.91,412239.4596,121995
08Q,NHS Southwark CCG,533809.2614,176643.6929,324466
01X,NHS St Helens CCG,352070.575,396086.433,192571
05V,NHS Stafford and Surrounds CCG,388304.0017,324488.9128,144598
01W,NHS Stockport CCG,391555.6782,388570.2449,296812
05W,NHS Stoke on Trent CCG,390685.3616,347506.4345,271384
00P,NHS Sunderland CCG,435228.5544,554080.3983,282531
99H,NHS Surrey Downs CCG,517936.1117,151927.5112,285587
10C,NHS Surrey Heath CCG,490075.0657,158835.2828,90317
08T,NHS Sutton CCG,526983.16,164134.7243,183229
10D,NHS Swale CCG,592700.7681,166748.5016,104891
12D,NHS Swindon CCG,418654.0135,186324.7598,219158
01Y,NHS Tameside and Glossop CCG,401558.8828,397504.9194,233592
05X,NHS Telford and Wrekin CCG,367083.6008,314837.0369,172239
10E,NHS Thanet CCG,632501.488,166997.6233,139545
07G,NHS Thurrock CCG,564390.9993,181586.8836,161925
08V,NHS Tower Hamlets CCG,536431.5218,181643.2449,280770
02A,NHS Trafford CCG,376489.1107,391415.7668,225440
03Q,NHS Vale of York CCG,463550.7656,460478.184,328583
02D,NHS Vale Royal CCG,364878.6335,372378.7998,102219
03R,NHS Wakefield CCG,438981.7581,418395.2687,354669
05Y,NHS Walsall CCG,402385.4874,300176.2644,263790
08W,NHS Waltham Forest CCG,537753.6322,190236.4819,293935
08X,NHS Wandsworth CCG,526114.5241,174049.7785,347337
02E,NHS Warrington CCG,362670.9289,389309.8632,204490
05H,NHS Warwickshire North CCG,427561.9657,293347.5459,183852
02F,NHS West Cheshire CCG,346148.8824,364953.1793,253815
07H,NHS West Essex CCG,553714.5535,219580.0142,289464
11A,NHS West Hampshire CCG,438979.5191,123324.8783,528731
99J,NHS West Kent CCG,567849.9086,148606.3248,462396
